0	17	34
1990	8	20
2000	8	24
2010	7	26
2020	11	21
2030	5	22
2040	5	30
2050	15	23
2060	11	17
2070	10	24
2080	10	26
2090	7	26
2100	6	23
2110	10	26
2120	11	21
2130	8	26
2140	7	34
2150	13	22
2160	10	18
2170	12	30
2180	8	23
2190	8	22
2200	8	29
2210	12	18
2220	12	24
2230	9	21
2240	5	22
2250	9	26
2260	8	20
2270	9	20
2280	4	24
2290	12	23
2300	13	21
2310	6	24
2320	11	24
2330	10	28
2340	7	24
2350	9	26
2360	14	18
2370	11	18
2380	16	23
2390	15	26
2400	13	19
2410	12	31
2420	12	26
2430	13	25
2440	8	25
2450	7	28
2460	14	19
2470	14	30
2480	30	17
2490	28	7
2500	26	14
2510	30	14
2520	31	14
2530	24	12
2540	31	8
2550	39	11
2560	34	5
2570	39	17
2580	24	18
2590	34	18
2600	36	6
2610	28	12
2620	22	11
2630	27	6
2640	23	11
2650	31	11
2660	45	12
2670	31	11
2680	30	14
2690	26	9
2700	19	19
2710	28	11
2720	26	13
2730	14	19
2740	15	32
2750	14	28
2760	10	22
2770	10	22
2780	7	27
2790	14	22
2800	12	29
2810	7	28
2820	8	26
2830	13	18
2840	9	30
2850	13	17
2860	12	28
2870	11	24
2880	8	26
2890	13	22
2900	12	18
2910	11	17
2920	6	20
2930	14	14
2940	8	27
2950	12	27
2960	12	19
2970	15	17
2980	26	18
2990	29	10
3000	36	8
3010	30	8
3020	24	14
3030	34	8
3040	9	23
3050	18	23
3060	14	33
3070	6	21
3080	12	19
3090	7	18
3100	16	28
3110	22	15
3120	37	6
3130	21	8
3140	34	9
3150	27	7
3160	28	10
3170	44	8
3180	27	9
3190	17	14
3200	35	6
3210	37	12
3220	24	12
3230	27	12
3240	34	9
3250	29	8
3260	22	13
3270	30	6
3280	27	9
3290	36	14
3300	34	13
3310	33	10
3320	25	8
3330	30	12
3340	30	13
3350	32	12
3360	25	4
3370	28	5
3380	24	12
3390	26	8
3400	29	13
3410	33	7
3420	25	15
3430	22	11
3440	27	10
3450	27	14
3460	30	12
3470	30	10
3480	38	8
3490	29	15
3500	26	8
3510	39	8
3520	20	9
3530	28	17
3540	31	12
3550	30	10
3560	26	17
3570	24	12
3580	29	12
3590	21	14
3600	28	14
3610	28	16
3620	8	25
3630	14	36
3640	15	18
3650	13	25
3660	18	28
3670	8	32
3680	6	26
3690	13	18
3700	9	18
3710	14	28
3720	8	18
3730	8	18
3740	9	26
3750	12	18
3760	9	24
3770	11	22
3780	8	26
3790	16	20
3800	7	24
3810	17	38
3820	7	28
3830	9	18
3840	18	10
3850	27	16
3860	21	12
3870	24	9
3880	34	7
3890	19	8
3900	29	9
3910	25	8
3920	29	8
3930	25	9
3940	26	5
3950	36	8
3960	35	12
3970	36	13
3980	28	9
3990	28	13
4000	40	12
4010	35	5
4020	34	17
4030	30	13
4040	28	10
4050	29	11
4060	27	5
4070	27	10
4080	26	5
4090	30	10
4100	27	11
4110	29	10
4120	25	6
4130	30	9
4140	29	6
4150	28	8
4160	25	19
4170	25	6
4180	28	9
4190	26	14
4200	34	8
4210	22	16
4220	21	12
4230	34	12
4240	28	10
4250	32	11
4260	32	8
4270	26	14
4280	25	16
4290	26	7
4300	30	8
4310	17	17
4320	33	10
4330	21	12
4340	27	9
4350	28	12
4360	15	27
4370	10	22
4380	8	21
4390	7	20
4400	10	20
4410	14	23
4420	8	17
4430	11	21
4440	10	29
4450	10	27
4460	15	15
4470	9	25
4480	7	28
4490	9	22
4500	11	22
4510	13	25
4520	6	27
4530	8	22
4540	12	19
4550	10	19
4560	8	18
4570	8	22
4580	14	25
4590	7	17
4600	8	23
4610	15	30
4620	5	22
4630	15	27
4640	10	19
4650	16	25
4660	25	12
4670	26	7
4680	22	6
4690	31	14
4700	36	10
4710	25	8
4720	28	9
4730	28	7
4740	36	11
4750	28	10
4760	40	6
4770	38	12
4780	43	15
4790	26	15
4800	38	10
4810	27	12
4820	30	9
4830	28	7
4840	25	6
4850	31	10
4860	30	13
4870	27	13
4880	31	12
4890	25	17
4900	28	14
4910	27	10
4920	23	9
4930	14	16
4940	10	24
4950	14	19
4960	10	23
4970	7	15
4980	15	18
4990	15	18
5000	6	28
5010	9	22
5020	17	22
5030	10	24
5040	8	21
5050	15	28
5060	11	18
5070	8	19
5080	12	20
5090	13	24
5100	16	25
5110	7	24
5120	8	30
5130	14	27
5140	5	20
5150	14	16
5160	11	24
5170	14	25
5180	14	17
5190	12	24
5200	18	27
5210	6	26
5220	25	12
5230	30	11
5240	28	11
5250	23	10
5260	26	9
5270	37	12
5280	28	15
5290	22	8
5300	30	12
5310	28	7
5320	26	15
5330	30	11
5340	26	7
5350	26	8
5360	23	14
5370	23	12
5380	27	12
5390	28	8
5400	29	12
5410	30	10
5420	30	9
5430	24	14
5440	38	10
5450	41	7
5460	26	12
5470	29	8
5480	39	4
5490	30	11
5500	31	11
5510	30	8
5520	32	8
5530	24	11
5540	29	8
5550	27	12
5560	29	10
5570	28	12
5580	23	10
5590	32	5
5600	23	10
5610	15	16
5620	10	31
5630	11	19
5640	14	17
5650	15	25
5660	9	27
5670	13	18
5680	8	21
5690	13	26
5700	14	18
5710	17	22
5720	24	7
5730	26	8
5740	23	16
5750	14	12
5760	26	8
5770	26	8
5780	26	9
5790	24	12
5800	25	10
5810	30	8
5820	24	11
5830	28	12
5840	23	13
5850	23	10
5860	31	12
5870	35	11
5880	28	11
5890	27	11
5900	34	12
5910	24	15
5920	37	12
5930	34	9
5940	29	13
5950	31	10
5960	25	9
5970	23	12
5980	33	11
5990	25	9
6000	29	9
6010	26	14
6020	33	15
6030	29	19
6040	31	7
6050	31	8
6060	31	17
6070	30	15
6080	24	8
6090	29	9
6100	26	10
6110	29	12
6120	26	15
6130	28	8
6140	28	13
6150	33	12
6160	28	12
6170	33	8
6180	30	5
6190	24	12
6200	22	18
6210	21	7
6220	30	10
6230	15	13
6240	37	7
6250	36	10
6260	23	9
6270	25	7
6280	42	15
6290	23	13
6300	18	11
6310	29	8
6320	39	13
6330	23	7
6340	29	12
6350	19	10
6360	24	8
6370	35	13
6380	29	13
6390	31	11
6400	33	15
6410	27	6
6420	28	14
6430	27	9
6440	27	10
6450	25	9
6460	30	5
6470	33	9
6480	31	13
6490	27	18
6500	22	9
6510	25	12
6520	25	14
6530	29	8
6540	21	9
6550	26	11
6560	23	16
6570	39	9
6580	31	5
6590	28	20
6600	30	9
6610	26	18
6620	31	11
6630	44	15
6640	29	14
6650	29	12
6660	29	8
6670	29	11
6680	32	10
6690	32	12
6700	30	10
6710	29	8
6720	32	14
6730	24	5
6740	48	12
6750	23	15
6760	29	19
6770	34	6
6780	30	14
6790	27	9
6800	29	9
6810	29	7
6820	32	12
6830	12	13
6840	24	13
6850	26	7
6860	37	11
6870	34	14
6880	28	10
6890	34	6
6900	30	11
6910	27	10
6920	18	11
6930	36	9
6940	30	13
6950	32	16
6960	25	12
6970	32	16
6980	33	9
6990	34	14
7000	26	9
7010	26	7
7020	24	15
7030	20	8
7040	37	11
7050	27	7
7060	31	11
7070	28	11
7080	22	8
7090	19	9
7100	30	15
7110	30	9
7120	17	28
7130	5	25
7140	9	22
7150	10	16
7160	9	23
7170	9	24
7180	8	23
7190	9	23
7200	8	20
7210	13	25
7220	11	21
7230	9	19
7240	8	13
7250	9	19
7260	7	19
7270	11	25
7280	11	21
7290	7	21
7300	12	26
7310	8	23
7320	10	27
7330	7	23
7340	12	33
7350	13	25
7360	7	22
7370	8	24
7380	9	17
7390	5	26
7400	8	18
7410	12	30
7420	13	23
7430	12	28
7440	13	29
7450	11	19
7460	8	24
7470	11	16
7480	18	24
7490	5	18
7500	12	27
7510	10	18
7520	9	22
7530	17	19
7540	15	21
7550	15	22
7560	6	25
7570	13	20
7580	8	29
7590	11	27
7600	16	22
7610	10	22
7620	11	29
7630	10	20
7640	11	31
7650	7	18
7660	13	24
7670	13	26
7680	10	21
7690	6	20
7700	11	24
7710	14	19
7720	9	20
7730	10	36
7740	14	23
7750	15	20
7760	9	31
7770	12	20
7780	12	21
7790	10	44
7800	9	15
7810	10	21
7820	13	27
7830	18	20
7840	11	24
7850	9	26
7860	7	19
7870	10	24
7880	14	33
7890	12	24
7900	7	21
7910	12	18
7920	10	24
7930	8	16
7940	11	28
7950	14	24
7960	8	29
7970	9	30
7980	8	21
7990	6	19
8000	7	23
8010	16	16
8020	28	10
8030	23	10
8040	30	19
8050	28	13
8060	32	10
8070	29	7
8080	32	15
8090	22	14
8100	14	18
8110	10	23
8120	9	23
8130	9	23
8140	9	22
8150	14	29
8160	13	19
8170	10	30
8180	8	28
8190	10	22
8200	5	25
8210	6	23
8220	7	23
8230	9	24
8240	11	28
8250	7	26
8260	9	18
8270	11	28
8280	13	25
8290	18	22
8300	9	21
8310	7	26
8320	4	31
8330	20	14
8340	12	26
8350	11	18
8360	12	24
8370	8	27
8380	7	23
8390	9	26
8400	13	21
8410	10	26
8420	13	13
8430	10	27
8440	11	25
8450	6	25
8460	7	24
8470	13	26
8480	17	20
8490	14	24
8500	10	14
8510	12	21
8520	13	31
8530	7	18
8540	10	24
8550	8	18
8560	7	18
8570	20	23
8580	13	19
8590	6	28
8600	9	25
8610	11	31
8620	7	30
8630	12	21
8640	13	21
8650	4	25
8660	19	28
8670	17	20
8680	13	24
8690	16	25
8700	15	28
8710	8	32
8720	14	12
8730	12	18
8740	10	28
8750	15	23
8760	7	29
8770	12	30
8780	14	30
8790	11	18
8800	16	21
8810	18	20
8820	6	22
8830	8	24
8840	16	25
8850	8	20
8860	12	23
8870	10	30
8880	14	30
8890	8	19
8900	11	22
8910	10	25
8920	13	22
8930	19	24
8940	7	24
8950	10	19
8960	9	23
8970	10	20
8980	8	21
8990	11	33
9000	10	27
9010	11	24
9020	8	26
9030	7	25
9040	9	18
9050	7	20
9060	8	16
9070	14	22
9080	7	21
9090	8	29
9100	13	31
9110	16	22
9120	8	26
9130	8	27
9140	8	20
9150	13	15
9160	9	33
9170	12	25
9180	13	25
9190	8	23
9200	6	23
9210	8	30
9220	14	19
9230	11	21
9240	6	22
9250	9	31
9260	8	20
9270	11	31
9280	13	10
9290	11	21
9300	11	21
9310	14	19
9320	23	8
9330	24	12
9340	29	11
9350	20	16
9360	34	11
9370	22	14
9380	6	16
9390	19	12
9400	7	26
9410	6	24
9420	11	34
9430	10	16
9440	7	20
9450	14	26
9460	12	20
9470	10	24
9480	12	28
9490	15	21
9500	9	18
9510	14	11
9520	5	32
9530	7	25
9540	10	29
9550	7	22
9560	14	21
9570	9	24
9580	10	28
9590	9	24
9600	9	23
9610	14	21
9620	10	7
9630	11	25
9640	13	22
9650	7	28
9660	9	33
9670	6	19
9680	5	21
9690	10	25
9700	10	31
9710	9	30
9720	9	28
9730	12	28
9740	9	25
9750	7	24
9760	7	24
9770	10	26
9780	4	28
9790	10	27
9800	8	28
9810	8	30
9820	10	32
9830	13	23
9840	8	27
9850	8	32
9860	16	25
9870	8	17
9880	12	26
9890	10	23
9900	7	11
9910	12	18
9920	10	22
9930	14	13
9940	6	26
9950	6	27
9960	9	25
9970	9	24
9980	4	32
9990	12	20
10000	11	21
10010	10	28
10020	8	25
10030	11	18
10040	6	23
10050	13	25
10060	12	17
10070	10	22
10080	12	26
10090	14	28
10100	10	21
10110	12	26
10120	13	24
10130	7	16
10140	10	26
10150	9	26
10160	6	17
10170	14	29
10180	12	26
10190	15	26
10200	14	30
10210	12	29
10220	10	28
10230	8	21
10240	11	28
10250	9	22
10260	30	12
10270	28	6
10280	31	6
10290	30	7
10300	30	12
10310	21	9
10320	34	14
10330	30	12
10340	23	7
10350	29	11
10360	22	6
10370	13	20
10380	9	16
10390	8	33
10400	9	30
10410	8	35
10420	5	28
10430	13	26
10440	8	20
10450	9	28
10460	13	26
10470	11	34
10480	12	26
10490	6	20
10500	11	23
10510	8	23
10520	14	22
10530	10	23
10540	15	23
10550	8	19
10560	6	24
10570	10	22
10580	14	30
10590	10	24
10600	14	41
10610	13	24
10620	20	19
10630	11	25
10640	12	18
10650	12	28
10660	10	22
10670	15	19
10680	20	12
10690	38	8
10700	29	16
10710	28	13
10720	28	8
10730	19	6
10740	23	15
10750	29	11
10760	29	11
10770	16	15
10780	25	13
10790	22	10
10800	28	13
10810	25	14
10820	24	12
10830	26	7
10840	20	14
10850	26	15
10860	26	11
10870	38	10
10880	30	11
10890	34	14
10900	38	16
10910	27	10
10920	35	13
10930	36	10
10940	32	15
10950	30	12
10960	27	10
10970	27	13
10980	31	5
10990	30	17
11000	30	6
11010	27	17
11020	25	14
11030	28	12
11040	30	13
11050	32	8
11060	31	11
11070	38	5
11080	26	14
11090	32	9
11100	23	15
11110	36	8
11120	29	14
11130	32	8
11140	34	23
11150	8	23
11160	12	22
11170	13	29
11180	9	37
11190	5	21
11200	15	26
11210	20	12
11220	31	8
11230	29	15
11240	33	8
11250	28	12
11260	26	10
11270	15	16
11280	9	15
11290	11	22
11300	17	12
11310	23	6
11320	20	14
11330	31	7
11340	35	15
11350	29	8
11360	35	14
11370	23	14
11380	30	8
11390	29	13
11400	33	16
11410	42	7
11420	38	15
11430	25	13
11440	23	6
11450	24	11
11460	32	18
11470	23	10
11480	24	11
11490	35	8
11500	23	10
11510	24	14
11520	25	7
11530	21	16
11540	29	10
11550	37	9
11560	37	11
11570	42	10
11580	23	10
11590	17	19
11600	12	22
11610	17	24
11620	5	12
11630	11	36
11640	13	24
11650	9	19
11660	12	24
11670	8	18
11680	3	22
11690	9	23
11700	14	18
11710	6	31
11720	13	25
11730	4	33
11740	10	24
11750	9	20
11760	10	18
11770	16	33
11780	12	38
11790	5	30
11800	7	22
11810	28	15
11820	37	15
11830	31	10
11840	26	9
11850	26	16
11860	22	16
11870	24	10
11880	26	11
11890	33	10
11900	22	12
11910	14	23
11920	6	20
11930	11	21
11940	9	32
11950	12	24
11960	10	29
11970	8	23
11980	12	15
11990	5	19
12000	6	24
12010	11	27
12020	12	14
12030	15	25
12040	18	27
12050	8	22
12060	15	29
12070	13	27
12080	8	24
12090	12	14
12100	14	17
12110	9	17
12120	12	21
12130	9	25
12140	9	17
12150	10	29
12160	18	13
12170	22	12
12180	28	7
12190	29	12
12200	25	15
12210	29	5
12220	24	10
12230	26	13
12240	30	7
12250	20	9
12260	24	14
12270	27	10
12280	32	18
12290	33	14
12300	30	11
12310	20	17
12320	33	8
12330	30	8
12340	36	17
12350	34	12
12360	28	15
12370	28	6
12380	23	7
12390	26	8
12400	25	9
12410	27	15
12420	9	24
12430	19	26
12440	9	26
12450	12	22
12460	16	19
12470	22	14
12480	32	8
12490	37	15
12500	31	7
12510	37	11
12520	21	11
12530	23	12
12540	35	11
12550	26	7
12560	32	8
12570	30	15
12580	32	10
12590	36	8
12600	35	12
12610	29	12
12620	34	15
12630	33	11
12640	26	16
12650	28	6
12660	19	18
12670	9	22
12680	10	25
12690	11	25
12700	14	28
12710	8	26
12720	24	8
12730	22	10
12740	26	8
12750	34	10
12760	32	10
12770	31	9
12780	23	10
12790	28	7
12800	27	11
12810	23	7
12820	37	11
12830	27	20
12840	27	11
12850	25	8
12860	25	15
12870	13	21
12880	10	28
12890	16	23
12900	12	33
12910	13	24
12920	9	21
12930	6	25
12940	14	31
12950	13	26
12960	9	20
12970	8	17
12980	10	15
12990	9	28
13000	11	28
13010	10	31
13020	6	17
13030	13	19
13040	12	25
13050	12	22
13060	6	23
13070	10	27
13080	14	18
13090	16	22
13100	13	23
13110	4	26
13120	6	34
13130	11	27
13140	13	20
13150	11	30
13160	16	12
13170	35	9
13180	15	18
13190	10	24
13200	16	25
13210	8	19
13220	10	20
13230	24	12
13240	27	9
13250	31	8
13260	27	18
13270	29	10
13280	34	11
13290	34	9
13300	29	17
13310	40	14
13320	31	10
13330	29	10
13340	35	9
13350	32	10
13360	24	8
13370	29	8
13380	23	9
13390	32	11
13400	31	8
13410	24	11
13420	30	10
13430	34	7
13440	29	10
13450	27	10
13460	33	8
13470	24	11
13480	41	18
13490	25	10
13500	24	6
13510	16	13
13520	14	18
13530	13	20
13540	14	29
13550	12	22
13560	6	23
13570	12	25
13580	15	26
13590	21	20
13600	10	24
13610	20	22
13620	8	16
13630	10	14
13640	11	22
13650	10	22
13660	15	27
13670	7	29
13680	25	10
13690	30	9
13700	26	8
13710	23	10
13720	27	14
13730	28	8
13740	37	6
13750	17	10
13760	33	9
13770	28	13
13780	39	11
13790	35	5
13800	19	17
13810	6	26
13820	10	21
13830	7	28
13840	8	16
13850	7	26
13860	11	14
13870	12	19
13880	24	23
13890	38	7
13900	26	11
13910	36	7
13920	25	7
13930	29	14
13940	32	11
13950	20	7
13960	23	5
13970	30	12
13980	29	13
13990	22	15
14000	14	17
14010	14	32
14020	10	19
14030	35	12
14040	30	8
14050	26	15
14060	32	10
14070	24	11
14080	31	14
14090	24	8
14100	36	15
14110	26	2
14120	28	6
14130	24	15
14140	30	14
14150	29	11
14160	29	15
14170	14	15
14180	10	33
14190	7	22
14200	9	12
14210	15	21
14220	6	26
14230	7	22
14240	14	21
14250	8	16
14260	17	26
14270	9	24
14280	9	26
14290	12	22
14300	8	24
14310	15	19
14320	5	32
14330	9	16
14340	11	22
14350	9	33
14360	13	22
14370	26	18
14380	35	15
14390	37	11
14400	27	16
14410	32	10
14420	33	12
14430	24	7
14440	20	14
14450	31	5
14460	36	18
14470	22	8
14480	31	14
14490	32	12
14500	31	12
14510	34	8
14520	27	11
14530	31	15
14540	21	11
14550	23	7
14560	28	12
14570	26	8
14580	38	10
14590	27	11
14600	39	9
14610	34	10
14620	29	15
14630	25	10
14640	25	15
14650	29	12
14660	27	7
14670	26	12
14680	37	12
14690	29	10
14700	27	5
14710	24	12
14720	32	5
14730	21	6
14740	32	15
14750	29	13
14760	24	10
14770	40	8
14780	12	25
14790	12	22
14800	8	22
14810	10	30
14820	9	25
14830	10	18
14840	6	20
14850	10	27
14860	17	25
14870	24	12
14880	27	14
14890	34	15
14900	24	11
14910	31	13
14920	29	15
14930	22	10
14940	33	8
14950	34	12
14960	29	10
14970	27	14
14980	26	14
14990	35	11
15000	33	14
15010	35	20
15020	32	11
15030	33	10
15040	22	12
15050	30	12
15060	19	11
15070	25	13
15080	26	15
15090	28	10
15100	28	4
15110	20	9
15120	28	12
15130	30	5
15140	21	11
15150	26	10
15160	22	13
15170	27	8
15180	33	11
15190	29	9
15200	38	10
15210	24	16
15220	36	13
15230	28	13
15240	32	12
15250	28	11
15260	28	7
15270	35	10
15280	27	12
15290	37	13
15300	25	10
15310	28	12
15320	31	11
15330	27	11
15340	25	6
15350	27	14
15360	22	6
15370	35	15
15380	20	12
15390	37	8
15400	25	15
15410	28	11
15420	29	6
15430	32	8
15440	29	18
15450	29	12
15460	28	11
15470	24	5
15480	28	11
15490	25	9
15500	26	7
15510	24	14
15520	30	7
15530	27	13
15540	39	8
15550	35	13
15560	26	23
15570	25	13
15580	28	13
15590	35	13
15600	31	8
15610	22	10
15620	39	9
15630	26	9
15640	28	10
15650	34	11
15660	28	16
15670	36	9
15680	31	14
15690	25	8
15700	31	7
15710	22	13
15720	23	11
15730	29	7
15740	28	13
15750	18	15
15760	29	12
15770	26	8
15780	29	10
15790	42	7
15800	31	6
15810	28	6
15820	26	14
15830	29	9
15840	27	11
15850	27	10
15860	12	9
15870	36	4
15880	31	15
15890	24	6
15900	33	9
15910	21	10
15920	24	11
15930	28	12
15940	36	5
15950	43	9
15960	27	10
15970	34	13
15980	35	9
15990	22	7
16000	34	7
16010	27	8
16020	27	10
16030	25	5
16040	31	8
16050	26	11
16060	28	9
16070	25	7
16080	33	6
16090	32	10
16100	37	12
16110	30	11
16120	23	16
16130	24	14
16140	24	13
16150	36	13
16160	34	8
16170	37	15
16180	24	8
16190	24	9
16200	32	9
16210	32	13
16220	22	17
16230	26	9
16240	31	9
16250	37	15
16260	31	7
16270	32	10
16280	30	10
16290	32	15
16300	27	12
16310	24	19
16320	32	13
16330	24	12
16340	29	15
16350	25	10
16360	28	14
16370	20	6
16380	30	11
16390	20	10
16400	23	11
16410	28	10
16420	36	7
16430	23	14
16440	24	8
16450	22	11
16460	30	15
16470	9	24
16480	10	25
16490	8	32
16500	12	17
16510	13	19
16520	6	19
16530	10	26
16540	9	27
16550	6	15
16560	15	19
16570	7	34
16580	10	25
16590	15	27
16600	14	30
16610	11	18
16620	5	26
16630	10	27
16640	17	22
16650	12	23
16660	14	18
16670	11	20
16680	16	24
16690	9	19
16700	11	28
16710	16	24
16720	13	24
16730	9	19
16740	9	27
16750	14	15
16760	17	24
16770	6	27
16780	11	21
16790	8	19
16800	10	27
16810	12	23
16820	14	27
16830	11	19
16840	8	31
16850	12	24
16860	9	32
16870	13	35
16880	11	20
16890	11	17
16900	4	31
16910	13	25
16920	8	16
16930	13	16
16940	14	26
16950	9	32
16960	9	33
16970	5	25
16980	7	28
16990	8	27
17000	15	17
17010	11	25
17020	10	22
17030	12	23
17040	10	27
17050	5	26
17060	14	19
17070	10	25
17080	11	20
17090	5	30
17100	13	18
17110	16	23
17120	8	30
17130	15	22
17140	12	27
17150	6	15
17160	11	22
17170	11	27
17180	12	24
17190	8	33
17200	7	27
17210	18	25
17220	5	24
17230	9	28
17240	14	21
17250	11	33
17260	7	22
17270	24	18
17280	27	9
17290	24	8
17300	27	8
17310	27	9
17320	31	14
17330	37	12
17340	30	10
17350	20	14
17360	39	14
17370	24	12
17380	29	10
17390	28	12
17400	38	11
17410	30	10
17420	17	10
17430	30	7
17440	24	26
17450	37	10
17460	33	7
17470	29	12
17480	26	16
17490	27	12
17500	22	9
17510	19	11
17520	26	9
17530	32	6
17540	36	5
17550	30	9
17560	24	13
17570	29	14
17580	38	12
17590	24	9
17600	34	15
17610	30	11
17620	18	14
17630	33	14
17640	28	14
17650	29	6
17660	28	11
17670	27	7
17680	32	9
17690	35	11
17700	29	7
17710	27	11
17720	27	9
17730	28	14
17740	40	13
17750	30	11
17760	30	8
17770	34	8
17780	23	11
17790	30	8
17800	25	6
17810	28	9
17820	29	11
17830	32	12
17840	25	9
17850	28	11
17860	33	9
17870	38	7
17880	22	15
17890	31	11
17900	6	21
17910	5	21
17920	10	23
17930	13	19
17940	10	21
17950	15	35
17960	10	18
17970	16	17
17980	23	8
17990	33	13
18000	20	15
18010	24	14
18020	27	15
18030	29	12
18040	23	11
18050	52	19
18060	28	13
18070	21	12
18080	25	17
18090	39	8
18100	27	10
18110	23	9
18120	22	18
18130	10	23
18140	9	25
18150	15	25
18160	11	14
18170	15	21
18180	14	25
18190	10	22
18200	10	30
18210	9	30
18220	12	18
18230	19	18
18240	20	10
18250	35	10
18260	39	10
18270	33	10
18280	29	13
18290	33	7
18300	35	9
18310	24	12
18320	29	10
18330	29	10
18340	23	11
18350	31	12
18360	28	16
18370	23	9
18380	37	14
18390	31	14
18400	14	22
18410	7	25
18420	17	20
18430	10	22
18440	12	31
18450	12	24
18460	12	23
18470	11	23
18480	8	26
18490	12	22
18500	14	13
18510	8	22
18520	10	29
18530	13	23
18540	10	16
18550	5	18
18560	7	26
18570	10	31
18580	11	18
18590	10	24
18600	5	25
18610	13	14
18620	14	37
18630	7	29
18640	9	12
18650	14	25
18660	9	21
18670	15	24
18680	9	26
18690	16	22
18700	7	18
18710	6	24
18720	6	21
18730	10	23
18740	8	28
18750	7	34
18760	12	25
18770	9	20
18780	11	29
18790	9	27
18800	14	27
18810	10	18
18820	8	22
18830	10	26
18840	10	35
18850	12	28
18860	16	17
18870	14	25
18880	8	26
18890	8	22
18900	27	21
18910	37	17
18920	26	14
18930	30	15
18940	38	5
18950	30	8
18960	24	6
18970	28	13
18980	30	11
18990	37	9
19000	37	19
19010	28	8
19020	22	12
19030	41	10
19040	24	11
19050	31	10
19060	29	8
19070	27	10
19080	30	18
19090	31	12
19100	32	15
19110	32	12
19120	30	15
19130	34	14
19140	33	8
19150	32	11
19160	24	17
19170	24	7
19180	30	11
19190	28	18
19200	37	7
19210	17	11
19220	30	5
19230	31	11
19240	32	15
19250	39	6
19260	31	10
19270	29	15
19280	35	18
19290	32	7
19300	34	8
19310	28	8
19320	34	15
19330	23	11
19340	30	17
19350	22	7
19360	29	10
19370	5	27
19380	7	20
19390	13	16
19400	13	21
19410	9	27
19420	9	25
19430	12	18
19440	14	25
19450	28	16
19460	28	12
19470	24	12
19480	30	12
19490	31	8
19500	23	10
19510	19	8
19520	32	13
19530	25	13
19540	23	12
19550	28	14
19560	32	13
19570	24	17
19580	27	10
19590	14	21
19600	17	31
19610	6	25
19620	9	25
19630	12	21
19640	9	20
19650	9	22
19660	13	22
19670	8	28
19680	4	30
19690	6	24
19700	13	10
19710	27	10
19720	23	11
19730	24	14
19740	26	7
19750	29	10
19760	24	11
19770	29	11
19780	26	15
19790	37	4
19800	21	10
19810	20	12
19820	24	14
19830	31	14
19840	27	10
19850	19	12
19860	31	5
19870	28	9
19880	22	14
19890	29	8
19900	27	13
19910	18	7
19920	29	9
19930	23	13
19940	36	13
19950	27	7
19960	28	17
19970	24	9
19980	27	17
19990	30	13
20000	24	9
20010	29	11
20020	22	10
20030	25	17
20040	24	11
20050	30	15
20060	21	13
20070	20	11
20080	28	15
20090	25	10
20100	35	5
20110	21	20
20120	24	12
